ensembl_gene_id	mgi_symbol
ENSMUSG00000000732	Icosl
ENSMUSG00000000791	Il12rb1
ENSMUSG00000001494	Sost
ENSMUSG00000002831	Plin4
ENSMUSG00000004110	Cacna1e
ENSMUSG00000005107	Slc2a9
ENSMUSG00000005397	Nid1
ENSMUSG00000006014	Prg4
ENSMUSG00000006204	Cdcp3
ENSMUSG00000006522	Itih3
ENSMUSG00000009596	Taf7l
ENSMUSG00000015852	Fcrl2
ENSMUSG00000016496	Cd274
ENSMUSG00000018339	Gpx3
ENSMUSG00000018566	Slc2a4
ENSMUSG00000018727	Cpsf4l
ENSMUSG00000019874	Fabp7
ENSMUSG00000019933	Mrln
ENSMUSG00000020286	1700093K21Rik
ENSMUSG00000020808	Pimreg
ENSMUSG00000020914	Top2a
ENSMUSG00000021070	Bdkrb2
ENSMUSG00000021186	Fbln5
ENSMUSG00000022025	Cnmd
ENSMUSG00000022548	Apod
ENSMUSG00000022622	Acr
ENSMUSG00000022639	Dubr
ENSMUSG00000022651	Retnlg
ENSMUSG00000023393	Slc17a9
ENSMUSG00000024136	Dnase1l2
ENSMUSG00000025496	Drd4
ENSMUSG00000025533	Asl
ENSMUSG00000025991	Cps1
ENSMUSG00000026774	Ankrd68
ENSMUSG00000026830	Ermn
ENSMUSG00000027274	Mkks
ENSMUSG00000027514	Zbp1
ENSMUSG00000027824	Vmn2r1
ENSMUSG00000027849	Syt6
ENSMUSG00000028364	Tnc
ENSMUSG00000028860	Sytl1
ENSMUSG00000029082	Bst1
ENSMUSG00000029700	Slc13a1
ENSMUSG00000029716	Tfr2
ENSMUSG00000029727	Cyp3a13
ENSMUSG00000030048	Gkn3
ENSMUSG00000030406	Gipr
ENSMUSG00000030711	Sult1a1
ENSMUSG00000031297	Slc7a3
ENSMUSG00000031425	Plp1
ENSMUSG00000032556	Bfsp2
ENSMUSG00000032611	1700102P08Rik
ENSMUSG00000032854	Ugt8a
ENSMUSG00000032921	Odf4
ENSMUSG00000033688	Inhca
ENSMUSG00000033847	Pla2g4c
ENSMUSG00000033880	Lgals3bp
ENSMUSG00000034164	Emid1
ENSMUSG00000035429	Ptprh
ENSMUSG00000035711	Dok3
ENSMUSG00000035929	H2-Q4
ENSMUSG00000036151	Tm6sf2
ENSMUSG00000036492	Rnf39
ENSMUSG00000036596	Cpz
ENSMUSG00000036634	Mag
ENSMUSG00000038007	Acer2
ENSMUSG00000038173	Enpp6
ENSMUSG00000040554	Aipl1
ENSMUSG00000040564	Apoc1
ENSMUSG00000040809	Chil3
ENSMUSG00000041193	Pla2g5
ENSMUSG00000042828	Trim72
ENSMUSG00000043448	Gjc2
ENSMUSG00000043872	Zmym1
ENSMUSG00000043924	Ncmap
ENSMUSG00000044177	Wfikkn2
ENSMUSG00000044338	Aplnr
ENSMUSG00000045136	Tubb2b
ENSMUSG00000045193	Cirbp
ENSMUSG00000045838	Ccdc9b
ENSMUSG00000046215	Rprml
ENSMUSG00000046718	Bst2
ENSMUSG00000047246	H2bc6
ENSMUSG00000047945	Marcksl1
ENSMUSG00000048368	Omd
ENSMUSG00000048373	Fgfbp1
ENSMUSG00000049107	Ntf3
ENSMUSG00000049721	Gal3st1
ENSMUSG00000050063	Klk6
ENSMUSG00000050121	Opalin
ENSMUSG00000050211	Pla2g4e
ENSMUSG00000050503	Fbxl22
ENSMUSG00000051627	H1f4
ENSMUSG00000051985	Igfn1
ENSMUSG00000052229	Gpr17
ENSMUSG00000054072	Iigp1
ENSMUSG00000055945	Prr18
ENSMUSG00000056032	BC018473
ENSMUSG00000056155	Nanos3
ENSMUSG00000056987	Garin2
ENSMUSG00000059456	Ptk2b
ENSMUSG00000060794	Tssk5
ENSMUSG00000062345	Serpinb2
ENSMUSG00000062778	Chia1
ENSMUSG00000066245	Gm10156
ENSMUSG00000072919	Noxred1
ENSMUSG00000073686	Gm10564
ENSMUSG00000074252	Gm10654
ENSMUSG00000074340	Ovgp1
ENSMUSG00000076439	Mog
ENSMUSG00000078838	Gm17382
ENSMUSG00000078922	Tgtp1
ENSMUSG00000079017	Ifi27l2a
ENSMUSG00000079363	Gbp4
ENSMUSG00000084088	Gm12941
ENSMUSG00000085331	Gm11274
ENSMUSG00000085873	Ttc39aos1
ENSMUSG00000086166	Gm14342
ENSMUSG00000086552	Dlx4os
ENSMUSG00000087216	E130111B04Rik
ENSMUSG00000087373	Gm15892
ENSMUSG00000089769	Gm16574
ENSMUSG00000089817	Gm7162
ENSMUSG00000091405	H4c14
ENSMUSG00000092274	Neat1
ENSMUSG00000092536	Gm20501
ENSMUSG00000097098	9330111N05Rik
ENSMUSG00000097403	9230116N13Rik
ENSMUSG00000097440	Gm6277
ENSMUSG00000097493	9930014A18Rik
ENSMUSG00000097903	Gm26679
ENSMUSG00000098132	Rassf10
ENSMUSG00000098221	Gm27030
ENSMUSG00000098488	Pla2g4b
ENSMUSG00000098708	Gm27252
ENSMUSG00000099583	H3c4
ENSMUSG00000099696	2900052N01Rik
ENSMUSG00000099784	Dalir
ENSMUSG00000100807	Gm29521
ENSMUSG00000104093	A330015K06Rik
ENSMUSG00000104283	Gm37459
ENSMUSG00000104494	Gm37111
ENSMUSG00000104674	Gm42756
ENSMUSG00000104713	Gbp6
ENSMUSG00000106858	Gm43844
ENSMUSG00000106928	Gm43860
ENSMUSG00000107008	Gm2762
ENSMUSG00000107451	Gm44421
ENSMUSG00000107859	Gm30731
ENSMUSG00000108037	Gm44597
ENSMUSG00000108081	Gm44026
ENSMUSG00000108368	Gm45053
ENSMUSG00000108832	Gm44832
ENSMUSG00000108976	Gm29797
ENSMUSG00000109127	Gm31135
ENSMUSG00000109232	Gm44577
ENSMUSG00000109233	Gm44866
ENSMUSG00000109238	Tex51
ENSMUSG00000109460	Gm45591
ENSMUSG00000109771	Gm35315
ENSMUSG00000110016	Gm20751
ENSMUSG00000110027	C030029H02Rik
ENSMUSG00000110125	Gm33148
ENSMUSG00000110140	5430421F17Rik
ENSMUSG00000110729	Gm47117
ENSMUSG00000111110	Gm36855
ENSMUSG00000111360	Gm38642
ENSMUSG00000111696	Gm47932
ENSMUSG00000112143	Gm35721
ENSMUSG00000112295	Gm47017
ENSMUSG00000112662	Gm47922
ENSMUSG00000113210	4930474N09Rik
ENSMUSG00000113252	Gm33489
ENSMUSG00000113689	Gm29676
ENSMUSG00000114089	Gm47116
ENSMUSG00000114277	Gm48583
