ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0046475,glycerophospholipid catabolic process,5/124,34/28564,3.575931855893689e-7,3.9721186549701126e-4,3.535453509698423e-4,11812/211429/232889/329502/18784,5
GO:0046503,glycerolipid catabolic process,6/124,66/28564,4.3506228422454685e-7,3.9721186549701126e-4,3.535453509698423e-4,11812/227231/211429/232889/329502/18784,6
GO:0009395,phospholipid catabolic process,5/124,57/28564,4.968359698326713e-6,0.003024074936381526,0.0026916306576198054,11812/211429/232889/329502/18784,5
GO:0042552,myelination,7/124,180/28564,1.4213107480699102e-5,0.004453184024095629,0.003963634134549866,319903/53897/17136/230822/18205/18823/22239,7
GO:0007272,ensheathment of neurons,7/124,183/28564,1.581740942976832e-5,0.004453184024095629,0.003963634134549866,319903/53897/17136/230822/18205/18823/22239,7
GO:0008366,axon ensheathment,7/124,183/28564,1.581740942976832e-5,0.004453184024095629,0.003963634134549866,319903/53897/17136/230822/18205/18823/22239,7
GO:1901072,glucosamine-containing compound catabolic process,3/124,12/28564,1.707135168054184e-5,0.004453184024095629,0.003963634134549866,81600/12655/12659,3
GO:0044242,cellular lipid catabolic process,7/124,230/28564,6.786058490093326e-5,0.01492017593246243,0.013279962898323625,230379/11812/227231/211429/232889/329502/18784,7
GO:0046348,amino sugar catabolic process,3/124,19/28564,7.353865465069105e-5,0.01492017593246243,0.013279962898323625,81600/12655/12659,3
GO:0016042,lipid catabolic process,8/124,342/28564,1.284794059478076e-4,0.023460339526069667,0.020881284503517363,230379/11812/227231/320981/211429/232889/329502/18784,8
GO:0032288,myelin assembly,3/124,25/28564,1.7125985200219627e-4,0.028429135432364583,0.0253038479896068,17136/230822/22239,3
GO:1901071,glucosamine-containing compound metabolic process,3/124,27/28564,2.1642177579599427e-4,0.032932180216957124,0.029311861563948702,81600/12655/12659,3
GO:1903169,regulation of calcium ion transmembrane transport,6/124,201/28564,2.526761671382632e-4,0.033959000953967484,0.030225801275682133,23796/13491/118454/69563/18823/19229,6
GO:0035456,response to interferon-beta,4/124,71/28564,2.625350392081533e-4,0.033959000953967484,0.030225801275682133,69550/100702/60440/21822,4
GO:0022010,central nervous system myelination,3/124,30/28564,2.9755970167769975e-4,0.033959000953967484,0.030225801275682133,319903/17136/18823,3
GO:0032291,axon ensheathment in central nervous system,3/124,30/28564,2.9755970167769975e-4,0.033959000953967484,0.030225801275682133,319903/17136/18823,3
GO:0046434,organophosphate catabolic process,5/124,145/28564,4.362091615351503e-4,0.04310775531485281,0.03836880971126578,11812/211429/232889/329502/18784,5
GO:0034341,response to type II interferon,5/124,146/28564,4.50125779088474e-4,0.04310775531485281,0.03836880971126578,69550/17472/100702/16161/21822,5
GO:0050482,arachidonic acid secretion,3/124,35/28564,4.7215504178371097e-4,0.04310775531485281,0.03836880971126578,12062/13491/18784,3
GO:1903963,arachidonate transport,3/124,35/28564,4.7215504178371097e-4,0.04310775531485281,0.03836880971126578,12062/13491/18784,3
GO:0042832,defense response to protozoan,3/124,39/28564,6.509983867454891e-4,0.054536606136247,0.04854125778195963,17472/100702/60440,3
GO:0015711,organic anion transport,8/124,437/28564,6.610500717192643e-4,0.054536606136247,0.04854125778195963,12062/13491/12140/18784/228993/20528/117591/11989,8
GO:0006026,aminoglycan catabolic process,3/124,40/28564,7.015609424702615e-4,0.054536606136247,0.04854125778195963,81600/12655/12659,3
GO:0070588,calcium ion transmembrane transport,7/124,339/28564,7.168009568838599e-4,0.054536606136247,0.04854125778195963,23796/12290/13491/118454/69563/18823/19229,7
GO:0000050,urea cycle,2/124,10/28564,8.222810041932495e-4,0.055452622879330705,0.049356574465721226,109900/227231,2
GO:1903589,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,2/124,10/28564,8.222810041932495e-4,0.055452622879330705,0.049356574465721226,23796/14181,2
GO:0001562,response to protozoan,3/124,44/28564,9.28622430093704e-4,0.055452622879330705,0.049356574465721226,17472/100702/60440,3
GO:0046006,regulation of activated T cell proliferation,3/124,44/28564,9.28622430093704e-4,0.055452622879330705,0.049356574465721226,60533/50723/16161,3
GO:0008611,ether lipid biosynthetic process,2/124,11/28564,0.0010021558351686272,0.055452622879330705,0.049356574465721226,232889/18784,2
GO:0019627,urea metabolic process,2/124,11/28564,0.0010021558351686272,0.055452622879330705,0.049356574465721226,109900/227231,2
GO:0046504,glycerol ether biosynthetic process,2/124,11/28564,0.0010021558351686272,0.055452622879330705,0.049356574465721226,232889/18784,2
GO:0071941,nitrogen cycle metabolic process,2/124,11/28564,0.0010021558351686272,0.055452622879330705,0.049356574465721226,109900/227231,2
GO:0097384,cellular lipid biosynthetic process,2/124,11/28564,0.0010021558351686272,0.055452622879330705,0.049356574465721226,232889/18784,2
GO:0006040,amino sugar metabolic process,3/124,46/28564,0.001057667427245698,0.056802962416195424,0.05055846772963957,81600/12655/12659,3
GO:1901503,ether biosynthetic process,2/124,12/28564,0.0011991727318662443,0.061548762282465905,0.054782549699733306,232889/18784,2
GO:0046486,glycerolipid metabolic process,7/124,374/28564,0.0012668159855653174,0.061548762282465905,0.054782549699733306,11812/227231/53897/211429/232889/329502/18784,7
GO:0014003,oligodendrocyte development,3/124,49/28564,0.0012715964849844704,0.061548762282465905,0.054782549699733306,319903/17136/18823,3
GO:0010001,glial cell differentiation,6/124,274/28564,0.0012808614275650078,0.061548762282465905,0.054782549699733306,319903/17136/230822/18205/226115/18823,6
GO:0042063,gliogenesis,7/124,378/28564,0.001346347130357878,0.06303666307778168,0.05610688176174262,319903/118454/17136/230822/18205/226115/18823,7
GO:0050798,activated T cell proliferation,3/124,52/28564,0.0015109430751929032,0.06897455138255602,0.06139200284468006,60533/50723/16161,3
GO:0009084,glutamine family amino acid biosynthetic process,2/124,14/28564,0.0016440344666973322,0.07321968137047143,0.06517045485444624,109900/71275,2
GO:0051924,regulation of calcium ion transport,6/124,292/28564,0.0017678525866043615,0.07685949578903724,0.06841013518088056,23796/13491/118454/69563/18823/19229,6
GO:0015908,fatty acid transport,4/124,120/28564,0.0018853069248535627,0.07850067665011949,0.06987089683967516,12062/13491/12140/18784,4
GO:0034638,phosphatidylcholine catabolic process,2/124,15/28564,0.0018915825698823973,0.07850067665011949,0.06987089683967516,11812/18784,2
GO:0006022,aminoglycan metabolic process,4/124,121/28564,0.0019432981131296545,0.07885471899054998,0.07018601840168857,81600/12655/16426/12659,4
GO:0048709,oligodendrocyte differentiation,4/124,122/28564,0.0020025127706608326,0.07949105041797132,0.07075239629062531,319903/17136/226115/18823,4
GO:0006677,glycosylceramide metabolic process,2/124,16/28564,0.0021556792581292387,0.08270644610462241,0.07361431531996138,53897/22239,2
GO:0035458,cellular response to interferon-beta,3/124,59/28564,0.0021741015405377195,0.08270644610462241,0.07361431531996138,100702/60440/21822,3
GO:0032309,icosanoid secretion,3/124,60/28564,0.0022813334921365103,0.0850145909518626,0.07566871991103699,12062/13491/18784,3
GO:0046470,phosphatidylcholine metabolic process,3/124,61/28564,0.0023917921990413518,0.08611617536930219,0.076649204340925,11812/232889/18784,3
GO:1903587,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,2/124,17/28564,0.0024361785327116415,0.08611617536930219,0.076649204340925,23796/14181,2
GO:0021782,glial cell development,4/124,129/28564,0.0024523773927731182,0.08611617536930219,0.076649204340925,319903/17136/230822/18823,4
GO:0001952,regulation of cell-matrix adhesion,4/124,130/28564,0.0025218522277854925,0.08688494656483602,0.07733346255612315,230379/11815/12182/19229,4
GO:0007614,short-term memory,2/124,18/28564,0.002732935332813404,0.08943662609518468,0.07960462944080542,13491/20528,2
GO:0042308,negative regulation of protein import into nucleus,2/124,18/28564,0.002732935332813404,0.08943662609518468,0.07960462944080542,11815/17472,2
GO:0042311,vasodilation,3/124,64/28564,0.0027428538123386325,0.08943662609518468,0.07960462944080542,12062/227231/59030,3
GO:0006662,glycerol ether metabolic process,2/124,19/28564,0.003045805530244312,0.09271336250943267,0.08252114585493979,232889/18784,2
GO:0035235,ionotropic glutamate receptor signaling pathway,2/124,19/28564,0.003045805530244312,0.09271336250943267,0.08252114585493979,18823/19229,2
GO:0046485,ether lipid metabolic process,2/124,19/28564,0.003045805530244312,0.09271336250943267,0.08252114585493979,232889/18784,2
