ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005637,nuclear inner membrane,2/16,46/28585,2.9967575693518614e-4,0.008690596951120398,0.005362618808313857,52668/19225,2
GO:0005635,nuclear envelope,3/16,440/28585,0.0017473964258945423,0.025337248175470863,0.015634599600109062,52668/76933/19225,3
GO:0042405,nuclear inclusion body,1/16,13/28585,0.007253673710223119,0.048480221240266276,0.02991520003936576,15951,1
GO:0042581,specific granule,1/16,14/28585,0.007809600534408823,0.048480221240266276,0.02991520003936576,17002,1
GO:0031965,nuclear membrane,2/16,253/28585,0.008627953037165128,0.048480221240266276,0.02991520003936576,52668/19225,2
GO:0035098,ESC/E(Z) complex,1/16,18/28585,0.010030390601434402,0.048480221240266276,0.02991520003936576,319903,1
GO:0005640,nuclear outer membrane,1/16,26/28585,0.014457997737348682,0.05712542923318366,0.0352498111420734,19225,1
GO:0005769,early endosome,2/16,347/28585,0.015758739098809284,0.05712542923318366,0.0352498111420734,66141/17002,2
GO:0031519,PcG protein complex,1/16,51/28585,0.0281749129978468,0.0907858307708397,0.05602029484951996,319903,1
GO:0005771,multivesicular body,1/16,59/28585,0.03252638683664555,0.09432652182627209,0.058205113286628876,69550,1
GO:0035097,histone methyltransferase complex,1/16,75/28585,0.04117459122167888,0.10600045469558282,0.0654086290317571,319903,1
GO:0016234,inclusion body,1/16,80/28585,0.04386225711541358,0.10600045469558282,0.0654086290317571,15951,1
GO:0005901,caveola,1/16,97/28585,0.05294758512797482,0.11262444498725638,0.06949602775983152,19225,1
GO:0031901,early endosome membrane,1/16,100/28585,0.054542452559248056,0.11262444498725638,0.06949602775983152,66141,1
GO:0034708,methyltransferase complex,1/16,107/28585,0.05825402326927054,0.11262444498725638,0.06949602775983152,319903,1
GO:0044853,plasma membrane raft,1/16,134/28585,0.07244251239589394,0.13130205371755777,0.0810212309690919,19225,1
GO:0055037,recycling endosome,1/16,159/28585,0.0854010870625651,0.14568420734202284,0.08989588111848959,17002,1
GO:0005765,lysosomal membrane,1/16,198/28585,0.10527803716964079,0.15786324512743033,0.09741107684814213,66141,1
GO:0098852,lytic vacuole membrane,1/16,198/28585,0.10527803716964079,0.15786324512743033,0.09741107684814213,66141,1
GO:0019867,outer membrane,1/16,216/28585,0.11431476371296678,0.15786324512743033,0.09741107684814213,19225,1
GO:0031968,organelle outer membrane,1/16,216/28585,0.11431476371296678,0.15786324512743033,0.09741107684814213,19225,1
GO:0005770,late endosome,1/16,244/28585,0.12820198820915507,0.1641262954342001,0.10127575398843564,69550,1
GO:0005774,vacuolar membrane,1/16,248/28585,0.13016913086160697,0.1641262954342001,0.10127575398843564,66141,1
GO:0010008,endosome membrane,1/16,294/28585,0.15249419575808154,0.1842638198743485,0.11370181262663973,66141,1
GO:0016607,nuclear speck,1/16,354/28585,0.18080710347774132,0.2097362400341799,0.12941982143669906,15951,1
GO:0045121,membrane raft,1/16,390/28585,0.1973666329202618,0.2119332742708352,0.13077552314352806,19225,1
GO:0098857,membrane microdomain,1/16,391/28585,0.19782210849654436,0.2119332742708352,0.13077552314352806,19225,1
GO:0016324,apical plasma membrane,1/16,406/28585,0.20462523033046154,0.2119332742708352,0.13077552314352806,69550,1
GO:0030141,secretory granule,1/16,485/28585,0.23957130862973064,0.23957130862973064,0.14782984561544177,17002,1
