"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00565","mmu00565","Ether lipid metabolism - Mus musculus (house mouse)","7/50","49/11206",1.69499049968549e-09,2.11873812460686e-07,1.69499049968549e-07,"320981/53897/211429/232889/329502/18784/22239",7
"mmu00592","mmu00592","alpha-Linolenic acid metabolism - Mus musculus (house mouse)","4/50","25/11206",4.14032754758349e-06,0.00017653358189813,0.000141226865518504,"211429/232889/329502/18784",4
"mmu00591","mmu00591","Linoleic acid metabolism - Mus musculus (house mouse)","5/50","55/11206",4.23680596555513e-06,0.00017653358189813,0.000141226865518504,"13113/211429/232889/329502/18784",5
"mmu00590","mmu00590","Arachidonic acid metabolism - Mus musculus (house mouse)","4/50","89/11206",0.000647867180887511,0.0165841070260329,0.0132672856208263,"211429/232889/329502/18784",4
"mmu04912","mmu04912","GnRH signaling pathway - Mus musculus (house mouse)","4/50","90/11206",0.000675786271465645,0.0165841070260329,0.0132672856208263,"211429/232889/329502/19229",4
"mmu04666","mmu04666","Fc gamma R-mediated phagosome formation - Mus musculus (house mouse)","4/50","94/11206",0.000796037137249577,0.0165841070260329,0.0132672856208263,"17357/211429/232889/329502",4
"mmu00564","mmu00564","Glycerophospholipid metabolism - Mus musculus (house mouse)","4/50","102/11206",0.00108066735802957,0.0192976313933853,0.0154381051147082,"211429/232889/329502/18784",4
"mmu00600","mmu00600","Sphingolipid metabolism - Mus musculus (house mouse)","3/50","56/11206",0.00196198625943097,0.0298993273705187,0.0239194618964149,"230379/53897/22239",3
"mmu04370","mmu04370","VEGF signaling pathway - Mus musculus (house mouse)","3/50","58/11206",0.00217033253344451,0.0298993273705187,0.0239194618964149,"211429/232889/329502",3
"mmu04730","mmu04730","Long-term depression - Mus musculus (house mouse)","3/50","60/11206",0.00239194618964149,0.0298993273705187,0.0239194618964149,"211429/232889/329502",3
"mmu04750","mmu04750","Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse)","4/50","130/11206",0.00263624182097909,0.029957293420217,0.0239658347361736,"12062/211429/232889/329502",4
"mmu04913","mmu04913","Ovarian steroidogenesis - Mus musculus (house mouse)","3/50","64/11206",0.00287610238313311,0.0299593998243032,0.0239675198594426,"211429/232889/329502",3
"mmu04664","mmu04664","Fc epsilon RI signaling pathway - Mus musculus (house mouse)","3/50","66/11206",0.00313918299999026,0.0301844519229832,0.0241475615383866,"211429/232889/329502",3
"mmu04270","mmu04270","Vascular smooth muscle contraction - Mus musculus (house mouse)","4/50","144/11206",0.00380916647008895,0.0309363145866691,0.0247490516693353,"211429/232889/329502/18784",4
"mmu00220","mmu00220","Arginine biosynthesis - Mus musculus (house mouse)","2/50","21/11206",0.00388135998127243,0.0309363145866691,0.0247490516693353,"109900/227231",2
"mmu04014","mmu04014","Ras signaling pathway - Mus musculus (house mouse)","5/50","237/11206",0.00395984826709365,0.0309363145866691,0.0247490516693353,"18205/211429/232889/329502/18784",5
"mmu04072","mmu04072","Phospholipase D signaling pathway - Mus musculus (house mouse)","4/50","149/11206",0.00430200747285658,0.0316324078886513,0.0253059263109211,"211429/232889/329502/19229",4
