ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0047498,calcium-dependent phospholipase A2 activity,4/123,16/28171,6.047185667711429e-7,1.9048634853291002e-4,1.6295574009832906e-4,211429/232889/329502/18784,4
GO:0008061,chitin binding,3/123,11/28171,1.3063580167529585e-5,0.0015225092360415479,0.001302464041525936,81600/12655/12659,3
GO:0004623,phospholipase A2 activity,4/123,34/28171,1.4500087962300457e-5,0.0015225092360415479,0.001302464041525936,211429/232889/329502/18784,4
GO:0005544,calcium-dependent phospholipid binding,4/123,53/28171,8.58763818223947e-5,0.006762765068513582,0.005785356249087643,211429/232889/329502/54524,4
GO:0016798,"hydrolase activity, acting on glycosyl bonds",5/123,137/28171,3.4495747196048183e-4,0.021732320733510356,0.018591392173028076,230379/12182/81600/12655/12659,5
GO:0038024,cargo receptor activity,4/123,82/28171,4.6530941736730544e-4,0.024428744411783537,0.020898107165970212,71395/19039/96875/50765,4
GO:0047499,calcium-independent phospholipase A2 activity,2/123,10/28171,8.316417734197716e-4,0.0308829077932982,0.026419463308552518,232889/18784,2
GO:0004620,phospholipase activity,4/123,96/28171,8.432389004418291e-4,0.0308829077932982,0.026419463308552518,211429/232889/329502/18784,4
GO:0005044,scavenger receptor activity,3/123,43/28171,8.823687940942343e-4,0.0308829077932982,0.026419463308552518,71395/19039/96875,3
GO:0019911,structural constituent of myelin sheath,2/123,11/28171,0.0010135480385869363,0.031393843039726754,0.02685655411251479,230822/18823,2
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",4/123,103/28171,0.0010962929315460137,0.031393843039726754,0.02685655411251479,230379/81600/12655/12659,4
GO:0008191,metalloendopeptidase inhibitor activity,2/123,14/28171,0.001662643511812968,0.04141198447715981,0.035426793738188515,69550/278507,2
GO:0004857,enzyme inhibitor activity,7/123,392/28171,0.0017090660260415161,0.04141198447715981,0.035426793738188515,11812/69550/71775/16426/69563/18788/278507,7
GO:0016298,lipase activity,4/123,127/28171,0.0023650978097863895,0.05321470072019376,0.04552368716581321,211429/232889/329502/18784,4
GO:0004622,lysophospholipase activity,2/123,21/28171,0.003760993580299524,0.07898086518629001,0.06756591975836339,211429/232889,2
GO:0005201,extracellular matrix structural constituent,4/123,148/28171,0.004095056154127134,0.08062141803437796,0.06896936680635174,140703/23876/18073/21923,4
